id,item_name,category,quantity,unit_price,supplier,description,date_added
1,Milk (1L),Food,24,843.93,WearPlus Apparel,Milk (1L) supplied by StyleHub. Suitable for retail and bulk sales.,2025-05-11
2,Gloves,Clothing,321,1613.11,ClothWorld,Gloves supplied by FoodLine Trading. Suitable for retail and bulk sales.,2024-10-21
3,Milk (1L),Food,135,315.39,GoodTaste Supplies,Milk (1L) supplied by StyleHub. Suitable for retail and bulk sales.,2025-05-14
4,Polo Shirt,Clothing,35,1950.58,Daily Provisions Co.,Polo Shirt supplied by WearPlus Apparel. Suitable for retail and bulk sales.,2025-02-27
5,Skirt,Footwear,158,299.83,AgriFresh Distribution,Skirt supplied by FreshMart Foods. Suitable for retail and bulk sales.,2025-03-20
6,Sports Jersey,Accessories,21,2000.95,UrbanWear,Sports Jersey supplied by FoodLine Trading. Suitable for retail and bulk sales.,2025-05-26
7,Skirt,Footwear,169,1813.4,StyleHub,Skirt supplied by ClothWorld. Suitable for retail and bulk sales.,2025-05-15
8,Slippers,Accessories,486,1003.14,Daily Provisions Co.,Slippers supplied by FoodLine Trading. Suitable for retail and bulk sales.,2025-07-01
9,Chocolate Bar,Food,370,2162.59,UrbanWear,Chocolate Bar supplied by AgriFresh Distribution. Suitable for retail and bulk sales.,2025-02-04
10,Black Socks (pair),Footwear,401,1917.93,GoodTaste Supplies,Black Socks (pair) supplied by FreshMart Foods. Suitable for retail and bulk sales.,2024-11-20
11,Slippers,Footwear,295,2322.58,Daily Provisions Co.,Slippers supplied by AgriFresh Distribution. Suitable for retail and bulk sales.,2025-03-08
12,Frozen Hotdog,Food,455,476.09,StyleHub,Frozen Hotdog supplied by GoodTaste Supplies. Suitable for retail and bulk sales.,2025-06-02
13,Apple (per kg),Food,422,1787.16,GoodTaste Supplies,Apple (per kg) supplied by FreshMart Foods. Suitable for retail and bulk sales.,2025-08-03
14,Instant Noodles,Food,405,1074.79,GoodTaste Supplies,Instant Noodles supplied by AgriFresh Distribution. Suitable for retail and bulk sales.,2025-09-02
15,Gloves,Footwear,166,455.74,WearPlus Apparel,Gloves supplied by WearPlus Apparel. Suitable for retail and bulk sales.,2025-09-20
16,Pack of Eggs (12s),Food,172,1374.16,FoodLine Trading,Pack of Eggs (12s) supplied by StyleHub. Suitable for retail and bulk sales.,2024-12-04
17,Banana (per kg),Food,252,1215.37,FoodLine Trading,Banana (per kg) supplied by WearPlus Apparel. Suitable for retail and bulk sales.,2025-09-03
18,Denim Jeans,Footwear,65,1015.31,Daily Provisions Co.,Denim Jeans supplied by Daily Provisions Co.. Suitable for retail and bulk sales.,2025-01-16
19,Hooded Jacket,Footwear,49,2078.82,Metro Garments,Hooded Jacket supplied by WearPlus Apparel. Suitable for retail and bulk sales.,2025-05-26
20,Milk (1L),Food,88,2458.83,AgriFresh Distribution,Milk (1L) supplied by StyleHub. Suitable for retail and bulk sales.,2025-02-27
